Wall time,Step,Value
1747099086.2109737,32719,2.7264652252197266
1747099101.5710258,32759,2.647386074066162
1747099179.3122356,32959,2.5310866832733154
1747099233.4607043,33099,2.6035513877868652
1747099419.0678596,33419,2.5199174880981445
1747099473.8075929,33559,2.657162666320801
1747099489.0978308,33599,2.6604971885681152
1747099535.121555,33719,2.6628832817077637
1747099604.8643496,33899,2.728151559829712
1747099667.1123734,34059,2.644057512283325
1747099682.3573987,34099,2.5095303058624268
1747099705.4998202,34159,2.5589630603790283
1747099728.9328544,34219,2.5952835083007812
1747099736.58164,34239,2.505138874053955
1747099790.8639505,34379,2.4522831439971924
1747099829.7349694,34479,2.480118989944458
1747099883.8165455,34619,2.6692333221435547
1747100016.4151578,34799,2.654339075088501
1747100062.728856,34919,2.535022020339966
1747100133.5657358,35099,2.596449136734009
1747100219.5243664,35319,2.6302804946899414
1747100297.1519685,35519,2.502303123474121
1747100312.5678742,35559,2.561027765274048
1747100366.783536,35699,2.6816399097442627
1747100405.4018624,35799,2.5978198051452637
1747100428.531,35859,2.666682481765747
1747100490.320301,36019,2.6565563678741455
1747100700.5444927,36399,2.445986270904541
1747100918.346715,36959,2.6243844032287598
1747100948.8517752,37039,2.5244522094726562
1747101018.5750158,37219,2.689495086669922
1747101057.4766815,37319,2.5316810607910156
1747101073.2989557,37359,2.7259113788604736
1747101237.2994263,37779,2.5513906478881836
1747101385.2338638,37999,2.5853426456451416
1747101408.271373,38059,2.6272125244140625
1747101454.3206217,38179,2.554145097732544
1747101461.8928049,38199,2.497755765914917
1747101578.2845142,38499,2.53251051902771
1747101586.4324024,38519,2.6309995651245117
1747101671.8053148,38739,2.643125295639038
1747101702.8023632,38819,2.4360501766204834
1747101741.9118786,38919,2.649329900741577
1747101757.3304162,38959,2.5782651901245117
1747101827.5416486,39139,2.5525267124176025
1747101858.5781593,39219,2.596315622329712
1747101866.1685832,39239,2.5702905654907227
1747101881.6738076,39279,2.4883997440338135
1747101889.3609216,39299,2.6379213333129883
1747101967.7763858,39339,2.651158094406128
1747102052.6863587,39559,2.5826950073242188
1747102068.063763,39599,2.564488649368286
1747102130.8528194,39759,2.48095703125
1747102138.5744784,39779,2.5248727798461914
1747102161.4875703,39839,2.4164907932281494
1747102433.788539,40539,2.680647134780884
1747102831.102615,41399,2.388362169265747
1747102900.978812,41579,2.686948299407959
1747102978.0630178,41779,2.6761298179626465
1747103063.8403099,41999,2.562955141067505
1747103086.822331,42059,2.734501361846924
1747103133.6478348,42179,2.604412317276001
1747103172.304001,42279,2.4012579917907715
1747103179.987878,42299,2.5886166095733643
1747103267.6413853,42363,2.491767644882202
1747103273.7798703,42379,2.5122079849243164
1747103328.5288699,42519,2.5780556201934814
1747103421.328674,42759,2.57249116897583
1747103576.6533563,43159,2.586672067642212
1747103653.9696853,43359,2.6867740154266357
1747103792.0051355,43719,2.5085222721099854
1747103846.7736878,43859,2.5991549491882324
1747104019.4232202,44139,2.4627459049224854
1747104066.1425803,44259,2.538379430770874
1747104142.9727983,44459,2.568175792694092
1747104228.4450252,44679,2.749750852584839
1747104251.696643,44739,2.5363478660583496
1747104291.3790944,44839,2.426624298095703
1747104393.3645627,45099,2.525177478790283
1747104634.8392768,45559,2.5340628623962402
1747104822.1118853,46039,2.4710495471954346
1747104907.8978631,46259,2.5520126819610596
1747104931.3979847,46319,2.5400447845458984
1747104969.887754,46419,2.621809959411621
1747105031.9603097,46579,2.4779059886932373
1747105109.752814,46779,2.67490816116333
1747105242.371475,46959,2.5857269763946533
1747105296.4373567,47099,2.5213592052459717
1747105529.6812878,47699,2.5151097774505615
1747105560.7331963,47779,2.575731039047241
1747105568.3790715,47799,2.5496561527252197
1747105599.197564,47879,2.6978869438171387
1747105910.147791,48519,2.6660478115081787
1747105948.2182653,48619,2.5464603900909424
1747105987.3372,48719,2.550945520401001
1747106088.2250555,48979,2.733877182006836
1747106150.1597412,49139,2.7262983322143555
1747106173.3359861,49199,2.7033638954162598
1747106328.895607,49599,2.518458127975464
1747106390.5489364,49759,2.5043528079986572
1747106429.4110136,49859,2.377741813659668
1747106444.8839383,49899,2.6434061527252197
1747106522.6165564,49939,2.4786319732666016
1747106546.396334,49999,2.4360642433166504
1747106632.0694666,50219,2.527951955795288
1747106647.648553,50259,2.377666711807251
1747106663.026556,50299,2.4705610275268555
1747106717.54231,50439,2.63105845451355
1747106733.2276156,50479,2.5371971130371094
1747106795.1480706,50639,2.5933310985565186
1747107005.0430772,51179,2.4653868675231934
1747107012.8899417,51199,2.6013569831848145
1747107097.2336743,51419,2.518094778060913
1747107105.0224373,51439,2.448166847229004
1747107245.1977491,51639,2.707041025161743
1747107276.1387022,51719,2.517671823501587
1747107331.740448,51859,2.482980489730835
1747107386.371402,51999,2.4576148986816406
1747107487.0676112,52259,2.519033670425415
1747107549.5472403,52419,2.515911817550659
1747107557.2968984,52439,2.5619826316833496
1747107611.465045,52579,2.3401525020599365
1747107634.6492267,52639,2.573082685470581
1747107642.4781904,52659,2.532228946685791
1747107650.2823381,52679,2.548719644546509
1747107673.573556,52739,2.70198392868042
1747107885.5150037,53119,2.542694091796875
1747107947.2804613,53279,2.4039251804351807
1747107955.1482978,53299,2.666602611541748
1747107978.8118448,53359,2.4876248836517334
1747108033.6108122,53499,2.5745224952697754
1747108056.7387574,53559,2.70340895652771
1747108072.0407794,53599,2.5484507083892822
1747108095.1119728,53659,2.5754854679107666
1747108125.713505,53739,2.488269567489624
1747108195.585551,53919,2.5087649822235107
1747108242.2385626,54039,2.6461355686187744
1747108281.2479236,54139,2.564234733581543
1747108312.4899523,54219,2.6880850791931152
1747108406.8517709,54459,2.397514581680298
1747108477.3933523,54479,2.463495969772339
1747108508.7779202,54559,2.4031825065612793
1747108547.5741591,54659,2.495185136795044
1747108555.1840186,54679,2.3819384574890137
1747108562.8496008,54699,2.677307367324829
1747108586.023885,54759,2.556415557861328
1747108656.5599692,54939,2.586578845977783
1747108664.2719204,54959,2.642244577407837
1747108671.984934,54979,2.633589506149292
1747108711.823542,55079,2.538923740386963
1747108750.7648134,55179,2.5081753730773926
1747108773.9789565,55239,2.416795492172241
1747108813.2257226,55339,2.5771753787994385
1747108851.9120212,55439,2.5086472034454346
1747108906.8797078,55579,2.6272056102752686
1747109178.9265308,56119,2.552560806274414
1747109272.1928074,56359,2.5061559677124023
1747109350.0624695,56559,2.6299941539764404
1747109381.4098864,56639,2.4262754917144775
1747109428.7061322,56759,2.5471785068511963
1747109483.234961,56899,2.59440279006958
1747109560.9602444,57099,2.487145185470581
1747109568.4681766,57119,2.546050786972046
1747109779.535237,57499,2.5955066680908203
1747109787.3366234,57519,2.586005449295044
1747109858.0180178,57699,2.47873592376709
1747109873.7727768,57739,2.5429444313049316
1747110067.5307353,58239,2.547839879989624
1747110090.990935,58299,2.6283326148986816
1747110114.1926792,58359,2.5830788612365723
1747110192.7228124,58559,2.420832872390747
1747110331.9550157,58919,2.6161623001098633
1747110355.169312,58979,2.380566120147705
1747110471.7151031,59119,2.5648036003112793
1747110494.8841922,59179,2.636768102645874
1747110510.8111556,59219,2.3981881141662598
1747110557.3120549,59339,2.572801351547241
1747110658.6942277,59599,2.5016419887542725
1747110735.939302,59799,2.5202224254608154
1747110759.0058434,59859,2.3426156044006348
1747110782.8368468,59919,2.3291335105895996
1747110845.7311454,60079,2.5423011779785156
1747110915.3880067,60259,2.435701608657837
1747111095.005555,60559,2.5922117233276367
1747111195.704169,60819,2.4649908542633057
1747111476.9649363,61539,2.488757848739624
1747111484.7843747,61559,2.367604970932007
1747111577.572131,61799,2.511298894882202
1747111632.8123243,61939,2.428623914718628
1747111640.4772506,61959,2.591787815093994
1747111648.1408336,61979,2.6285300254821777
1747111757.2832253,62099,2.5819363594055176
1747111788.9991126,62179,2.6370654106140137
1747111820.0418835,62259,2.4995248317718506
1747111827.870322,62279,2.5529568195343018
1747111836.0470445,62299,2.592411518096924
1747111875.284986,62399,2.546046733856201
1747111890.7712574,62439,2.5689480304718018
1747112024.03975,62779,2.622875690460205
1747112242.6595197,63339,2.4103848934173584
1747112281.5919797,63439,2.543578863143921
1747112414.7811007,63619,2.405722141265869
1747112438.049064,63679,2.7052371501922607
1747112453.6659918,63719,2.4649574756622314
1747112508.2964334,63859,2.5740609169006348
1747112547.6504142,63959,2.549819231033325
1747112641.4899864,64199,2.5900027751922607
1747112649.2796412,64219,2.6252005100250244
1747112672.5563192,64279,2.453775644302368
1747112687.9605086,64319,2.61281681060791
1747112742.872232,64459,2.5726373195648193
1747112836.750403,64699,2.5563268661499023
1747112852.4270995,64739,2.330758571624756
1747113079.8759136,65159,2.469085693359375
1747113103.0139408,65219,2.490154266357422
1747113336.5223114,65819,2.4458565711975098
